Order_ID,Order_Date,Order_Priority,Customer_ID,Industry_name,Province,Region,Channel,Product_ID,Sales,Quantity,Unit_Price,Discount,Profit,Returned_Reason
HC-2011-103800,1/4/24,Medium,DP-13000,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Store,OFF-PA-10000174,16.448,2,8.224,0.2,5.5512,No reason
NA-2011-112326,2024.01.05,Medium,PO-19195,Thiết bị gia dụng,Nghệ An,Miền Trung,Online,OFF-LA-10003223,11.784,3,3.928,0.2,4.2717,""""""
NA-2011-112326,1/5/24,Low,PO-19195,Thiết bị gia dụng,Nghệ An,Miền Trung,Online,OFF-ST-10002743,272.736,3,90.912,0.2,-64.7748,""""""
NA-2011-112326,1/5/24,Low,PO-19195,Thiết bị gia dụng,Nghệ An,Miền Đông Nam Bộ,Online,OFF-BI-10004094,3.54,2,,0.8,-5.487,
TN-2011-141817,1/6/24,Medium,MB-18085,Thiết bị gia dụng,Tây Ninh ,Miền Đông Nam Bộ,Store,OFF-AR-10003478,19.536,3,6.512,0.2,4.884,
ĐN-2011-130813,1/7/24,Medium,LS-17230,Thiết bị gia dụng,Đồng Nai,Miền Đông Nam Bộ,Store,OFF-PA-10002005,19.44,3,6.48,0,9.3312,
HC-2011-106054,1/7/24,Medium,JO-15145,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-AR-10002399,12.78,3,4.26,,5.2398,
HN-2011-167199,1/7/24,High,ME-17320,Thiết bị gia dụng,Hà Nội,Miền Bắc,Online,FUR-CH-10004063,2573.82,9,285.98,,746.4078,
HN-2011-167199,1/7/24,High,ME-17320,Thiết bị gia dụng,Hà Nội,Miền Bắc,Online,OFF-BI-10004632,609.98,2,304.99,,274.491,
HN-2011-167199,1/7/24,Medium,ME-17320,Thiết bị gia dụng,Hà Nội,Miền Bắc,Online,OFF-AR-10001662,5.48,2,2.74,,1.4796,
HN-2011-167199,1/7/24,High,ME-17320,Thiết bị điện tử,Hà Nội,Miền Bắc,Online,TEC-PH-10004977,-391.98,2,195.99,,113.6742,
HN-2011-167199,1/7/24,High,ME-17320,Thiết bị điện tử,Hà Nội,Miền Bắc,Online,TEC-PH-10004539,755.96,4,188.99,,204.1092,
HN-2011-167199,1/7/24,High,ME-17320,Thiết bị gia dụng,Hà Nội,Miền Bắc,Online,OFF-FA-10001883,31.12,4,7.78,,0.3112,
HN-2011-167199,1/7/24,Medium,ME-17320,Thiết bị gia dụng,Hà Nội,Miền Bắc,Online,OFF-PA-10000955,6.54,1,6.54,,3.0084,Damaged
HT-2011-105417,1/8/24,Low,VS-21820,Thiết bị gia dụng,Hà Tỉnh,Miền Trung,Agent,FUR-FU-10004864,76.728,3,25.576,0.6,-53.7096,
HT-2011-105417,1/8/24,Low,VS-21820,Thiết bị gia dụng,Hà Tỉnh,Miền Trung,Agent,OFF-BI-10003708,10.43,7,1.49,0.8,-18.2525,
CT-2011-135405,1/10/24,Medium,MS-17830,Thiết bị gia dụng,Cần Thơ,Miền Tây Nam Bộ,Agent,OFF-AR-10004078,9.344,2,4.672,0.2,1.168,
CT-2011-135405,1/10/24,Medium,MS-17830,Thiết bị điện tử,Cần Thơ,Miền Tây Nam Bộ,Agent,TEC-AC-10001266,31.2,3,10.4,0.2,9.75,
HG-2011-149020,1/11/24,Medium,AJ-10780,Thiết bị gia dụng,Hà Giang,Miền Bắc,Store,OFF-LA-10004272,2.89,1,2.89,,1.3583,
HG-2011-149020,1/11/24,Medium,AJ-10780,Thiết bị gia dụng,Hà Giang,Miền Bắc,Store,FUR-FU-10000965,51.94,1,51.94,,21.2954,None
VL-2011-130092,1/12/24,Medium,SV-20365,Thiết bị gia dụng,Vĩnh Long,Miền Tây Nam Bộ,Store,FUR-FU-10000010,9.94,2,4.97,,3.0814,
HC-2011-162775,1/14/24,Medium,CS-12250,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-EN-10001990,11.36,2,5.68,,5.3392,
HC-2011-162775,1/14/24,Medium,CS-12250,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-EN-10001532,50.94,3,16.98,,25.47,
HC-2011-162775,1/14/24,High,CS-12250,Thiết bị điện tử,Hồ Chí Minh,Miền Đông Nam Bộ,Online,TEC-AC-10003174,646.74,6,107.79,,258.696,
HC-2011-162775,1/14/24,Medium,CS-12250,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-BI-10004187,5.64,3,1.88,,2.7072,
HC-2011-162775,1/14/24,Medium,CS-12250,Thiết bị gia dụng,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-ST-10000025,572.58,6,95.43,,34.3548,
ĐT-2011-109232,1/14/24,High,ND-18370,Thiết bị gia dụng,Đồng Tháp,Miền Tây Nam Bộ,Agent,FUR-CH-10000422,545.94,6,,,87.3504,
ĐN-2011-157147,1/14/24,High,BD-11605,Thiết bị gia dụng,Đà Nẵng,Miền Trung,Agent,OFF-ST-10000078,1325.85,5,265.17,,238.653,
ĐN-2011-157147,1/14/24,Medium,BD-11605,Thiết bị gia dụng,Đà Nẵng,Miền Trung,Agent,FUR-BO-10003034,333.999,3,111.333,0.15,3.9294,
ĐN-2011-157147,1/14/24,Medium,BD-11605,Thiết bị gia dụng,Đà Nẵng,Miền Trung,Agent,OFF-AR-10003514,19.9,5,3.98,,6.567,
QT-2011-118192,1/14/24,Medium,MM-17920,Thiết bị gia dụng,Quảng Trị,Miền Trung,Store,OFF-PA-10002947,37.408,7,5.344,0.2,13.0928,
QT-2011-118192,1/14/24,Low,MM-17920,Thiết bị gia dụng,Quảng Trị,Miền Trung,Store,OFF-BI-10003476,3.438,2,1.719,0.7,-2.5212,
HG-2011-149524,1/15/24,Low,BS-11590,Thiết bị gia dụng,Hà Giang,Miền Bắc,Agent,FUR-BO-10003433,61.96,4,15.49,0.5,-53.2856,
ĐN-2011-103366,1/16/24,High,EH-13990,Thiết bị điện tử,Đà Nẵng,Miền Trung,Agent,TEC-AC-10003628,149.95,5,29.99,,65.978,
HT-2011-115791,1/17/24,Medium,DL-13315,Thiết bị gia dụng,Hà Tỉnh,Miền Trung,Agent,FUR-FU-10001095,127.104,6,21.184,0.2,28.5984,
HT-2011-115791,1/17/24,Low,DL-13315,Thiết bị điện tử,Hà Tỉnh,Miền Trung,Agent,TEC-PH-10002154,124.2,3,41.4,0.4,-31.05,
HT-2011-115791,1/17/24,Low,DL-13315,Thiết bị gia dụng,Hà Tỉnh,Miền Trung,agent,OFF-BI-10001575,18.588,2,9.294,0.7,-13.6312,
HT-2011-115791,1/17/24,Medium,DL-13315,Thiết bị gia dụng,Hà Tỉnh,Miền Trung,Agent,OFF-LA-10001074,30.072,3,10.024,0.2,10.1493,
ĐN-2011-123477,1/19/24,Medium,DW-13195,Thiết bị gia dụng,Đồng Nai,Miền Đông Nam Bộ,Agent,OFF-AP-10000692,64.864,4,16.216,0.2,6.4864,
CT-2011-146591,1/20/24,Low,TS-21340,Thiết bị gia dụng,Cần Thơ,Miền Tây Nam Bộ,Store,OFF-BI-10003676,32.34,10,3.234,0.7,-23.716,
CT-2011-146591,1/20/24,Medium,TS-21340,Thiết bị gia dụng,Cần Thơ,Miền Tây Nam Bộ,Store,OFF-PA-10000659,56.064,4,14.016,0.2,19.6224,
