Model,Train Size Ratio,Train Size,Train RMSE,Test RMSE,Train R2,Test R2
Linear Regression,0.1,1702,122279.0222105444,133726.98585102815,0.8324898310819466,0.8126483524474659
Linear Regression,0.2,3405,124583.39893635969,127621.5663196008,0.8327419224170619,0.8293652243653105
Linear Regression,0.30000000000000004,5108,125765.22180188677,126995.443090927,0.8330794652507146,0.8310354172673657
Linear Regression,0.4,6811,126519.28590353506,127307.78907963313,0.8297868990640083,0.830203256536735
Linear Regression,0.5,8514,126277.37693585845,126740.93142844949,0.8337484190307859,0.8317119827279127
Linear Regression,0.6,10216,126664.15086339608,126214.75874038611,0.8312188154488742,0.8331063980925008
Linear Regression,0.7000000000000001,11919,127817.74082778789,126315.64133354845,0.8292515171031617,0.8328394976408573
Linear Regression,0.8,13622,126911.03065782548,126129.58051097997,0.8305192378311748,0.8333315841926775
Linear Regression,0.9,15325,126656.80292069016,125998.11066075704,0.8303658651906632,0.8336788532753008
Linear Regression,1.0,17028,126622.87400430435,125958.68441183232,0.8296215667733038,0.8337829245657695
Decision Tree,0.1,1702,53653.73526993666,178167.97032625863,0.9677494454904944,0.6674333697506791
Decision Tree,0.2,3405,69206.62029915562,179453.90515574586,0.9483866518923643,0.6626154180655872
Decision Tree,0.30000000000000004,5108,77211.72185557742,174455.06344942676,0.9370848668236702,0.6811498960075848
Decision Tree,0.4,6811,83206.53089871432,159042.90201964296,0.9263802479014221,0.7349987100412622
Decision Tree,0.5,8514,89772.69832105692,153681.2663314876,0.9159760221499423,0.752564923355617
Decision Tree,0.6,10216,92161.79680910145,151321.9356731709,0.9106450810861894,0.76010390376329
Decision Tree,0.7000000000000001,11919,92835.11017070447,151660.324673818,0.9099260737619961,0.7590297836626776
Decision Tree,0.8,13622,93957.7406573086,141668.8345401117,0.9071061855844551,0.7897344870258025
Decision Tree,0.9,15325,93661.36925249317,141618.4443809894,0.9072364820393337,0.7898840390196309
Decision Tree,1.0,17028,98152.75116040268,141035.94847919303,0.8976246873291439,0.7916089552886995
Decision Tree No Limit,0.1,1702,214.24724068470655,184656.2824520888,0.9999994857577721,0.6427702820010526
Decision Tree No Limit,0.2,3405,151.47342904388955,187205.89694859218,0.9999997527480848,0.6328373849375888
Decision Tree No Limit,0.30000000000000004,5108,123.67148363834453,183226.58359152058,0.9999998385909851,0.6482805603439178
Decision Tree No Limit,0.4,6811,107.10002569715485,172232.48509607557,0.9999998780284144,0.6892225200879198
Decision Tree No Limit,0.5,8514,545.7274467064992,168546.57106261465,0.9999968949666214,0.7023819629423431
Decision Tree No Limit,0.6,10216,1903.0883909700435,161028.85498431677,0.9999618991628085,0.7283393006059962
Decision Tree No Limit,0.7000000000000001,11919,2452.2668959428115,160399.72185526713,0.9999371493099415,0.7304578882992463
Decision Tree No Limit,0.8,13622,2637.989305369892,156376.70329347995,0.9999267735926286,0.7438092110518252
Decision Tree No Limit,0.9,15325,3015.8521142470095,152504.65583085135,0.9999038218789029,0.7563392314069024
Decision Tree No Limit,1.0,17028,2890.857397090019,155324.6182222444,0.9999111937309447,0.7472448609881073
Random Forest,0.1,1702,47594.00508310191,131424.47761688687,0.9746229130737928,0.8190444433183635
Random Forest,0.2,3405,48041.94744727613,125602.27235179712,0.9751281575594721,0.834722247732523
Random Forest,0.30000000000000004,5108,49815.21217373854,124132.7480479667,0.9738113800009779,0.8385670643074254
Random Forest,0.4,6811,50762.632606003885,118503.36139955804,0.9725989128677232,0.8528769418464942
Random Forest,0.5,8514,50886.37740396461,116688.93080316995,0.97300286060052,0.8573477172225485
Random Forest,0.6,10216,51871.619289029375,117073.94715507423,0.9716941494157169,0.8564047987915375
Random Forest,0.7000000000000001,11919,51669.783483955216,113555.18702046921,0.9720971950819168,0.8649068406026434
Random Forest,0.8,13622,52322.487648146925,113543.49517330629,0.9711929733423837,0.8649346580419057
Random Forest,0.9,15325,53076.3778721281,110685.40388383063,0.9702108054967645,0.8716487469164758
Random Forest,1.0,17028,53992.58244893741,110567.04774052431,0.969021635375124,0.871923092707355
