Feature,Importance
num__grade,0.3809904507308768
num__lat,0.2051848902352431
num__sqft_living,0.175418150560903
num__long,0.05981576247219718
num__sqft_living15,0.03003270184895788
num__house_age,0.01830726205816061
num__sqft_above,0.01718278363394506
num__view,0.015722835387756706
num__yr_built,0.014686504037943937
num__sqft_lot,0.013864611268500849
num__waterfront,0.013420152774761602
num__sqft_lot15,0.01278143486102405
cat__zipcode_98004,0.00783423473869864
num__bathrooms,0.005923651916970402
num__sqft_basement,0.003954499133820502
num__condition,0.003193112326723303
cat__zipcode_98040,0.0030236368314919626
num__bedrooms,0.0028671235108408215
num__floors,0.0017379332853363271
num__yr_renovated,0.00163917337307083
cat__zipcode_98112,0.0012665302912263077
cat__zipcode_98039,0.0010275047178273538
cat__zipcode_98119,0.0009301876848484349
cat__zipcode_98006,0.0007098443635303444
cat__zipcode_98144,0.0006599550507453367
num__is_renovated,0.000564177493833622
cat__zipcode_98109,0.0005289332597040097
cat__zipcode_98033,0.0003909351736275772
cat__zipcode_98027,0.00029442471630542236
cat__zipcode_98034,0.0002889143131811668
cat__zipcode_98136,0.0002578305771286475
cat__zipcode_98105,0.0002535730280680051
cat__zipcode_98005,0.00024695828839126375
cat__zipcode_98108,0.00024374986368770946
cat__zipcode_98115,0.00022903096659416985
cat__zipcode_98106,0.00021359828495498282
cat__zipcode_98166,0.0002118805208579583
cat__zipcode_98103,0.0001954256670412961
cat__zipcode_98008,0.0001877918403569793
cat__zipcode_98118,0.00017736971413702016
cat__zipcode_98056,0.0001716220573310801
cat__zipcode_98122,0.00016932559496870924
cat__zipcode_98102,0.00016802328980782525
cat__zipcode_98053,0.00016020096772178255
cat__zipcode_98177,0.00015697287077401085
cat__zipcode_98010,0.00014323455152001887
cat__zipcode_98074,0.0001346787033773272
cat__zipcode_98199,0.0001336321544505738
cat__zipcode_98146,0.00011763122776803803
cat__zipcode_98058,0.00011585178542561266
cat__zipcode_98059,0.00010993191257099277
cat__zipcode_98014,0.00010617061669307314
cat__zipcode_98075,0.00010380963843611233
cat__zipcode_98019,0.00010265370123907518
cat__zipcode_98092,9.883261027896548e-05
cat__zipcode_98024,9.202834015278289e-05
cat__zipcode_98038,9.016595703648808e-05
cat__zipcode_98011,8.932113758927069e-05
cat__zipcode_98198,8.737671331411181e-05
cat__zipcode_98052,8.438629550573414e-05
cat__zipcode_98070,7.649589822401075e-05
cat__zipcode_98023,7.55525609198049e-05
cat__zipcode_98065,7.331186356429283e-05
cat__zipcode_98155,6.764686269074876e-05
cat__zipcode_98072,6.651807185134021e-05
cat__zipcode_98116,6.529401745674726e-05
cat__zipcode_98029,6.507784172411749e-05
cat__zipcode_98126,6.409164542916275e-05
cat__zipcode_98125,6.100978878711212e-05
cat__zipcode_98117,5.931120671642549e-05
cat__zipcode_98178,4.759844125821398e-05
cat__zipcode_98007,4.277601712767649e-05
cat__zipcode_98028,4.011521511020193e-05
cat__zipcode_98133,3.5420271084531595e-05
cat__zipcode_98077,3.1475561122849356e-05
cat__zipcode_98055,2.7367221432250686e-05
cat__zipcode_98042,2.653838239584553e-05
cat__zipcode_98031,2.5605336655678605e-05
cat__zipcode_98003,2.4798082568265883e-05
cat__zipcode_98168,2.2815855119121133e-05
cat__zipcode_98001,2.2607482092055216e-05
cat__zipcode_98045,2.178196496972083e-05
cat__zipcode_98107,1.812461646717294e-05
cat__zipcode_98188,1.325015191704368e-05
cat__zipcode_98032,9.632830244281445e-06
cat__zipcode_98030,8.641402898423733e-06
cat__zipcode_98022,6.293072573510047e-06
cat__zipcode_98148,3.5949709635968454e-06
cat__zipcode_98002,1.8824374030780471e-06
