Model,Train Size Ratio,Train Size,Train Accuracy,Test Accuracy,Train F1,Test F1,Test ROC AUC
Logistic Regression,0.1,341,0.9208211143695014,0.9074941451990632,0.9403973509933775,0.9270544783010157,0.9697632249450479
Logistic Regression,0.2,683,0.91800878477306,0.9121779859484778,0.933806146572104,0.9301025163094129,0.9714249065668491
Logistic Regression,0.30000000000000004,1024,0.921875,0.9168618266978923,0.936,0.9335827876520112,0.9730224531085107
Logistic Regression,0.4,1366,0.9260614934114202,0.9168618266978923,0.9398451459201906,0.9337068160597572,0.9730807577268196
Logistic Regression,0.5,1707,0.9261862917398945,0.9192037470725996,0.9402277039848197,0.9355742296918768,0.972865030639077
Logistic Regression,0.6,2049,0.9194729136163983,0.9168618266978923,0.9347568208778173,0.9338303821062441,0.9725326943147166
Logistic Regression,0.7000000000000001,2390,0.9221757322175732,0.9156908665105387,0.9373315363881402,0.9327102803738317,0.9727425909406284
Logistic Regression,0.8,2732,0.9187408491947291,0.9133489461358314,0.9346289752650176,0.9309701492537313,0.9730224531085108
Logistic Regression,0.9,3073,0.9179954441913439,0.9133489461358314,0.9339622641509434,0.931098696461825,0.9728183869444299
Logistic Regression,1.0,3415,0.9183016105417277,0.914519906323185,0.9344608879492601,0.932093023255814,0.9725501857002092
Decision Tree,0.1,341,1.0,0.9625292740046838,1.0,0.9700374531835206,0.9583471806801817
Decision Tree,0.2,683,0.986822840409956,0.968384074941452,0.989247311827957,0.9742120343839542,0.983698028720855
Decision Tree,0.30000000000000004,1024,0.9853515625,0.9695550351288056,0.9879518072289156,0.9751908396946565,0.9846921224630204
Decision Tree,0.4,1366,0.9802342606149341,0.968384074941452,0.9837251356238698,0.9741626794258373,0.9875461335292369
Decision Tree,0.5,1707,0.9800820152314001,0.9718969555035128,0.983638113570741,0.9770554493307839,0.9885956166587956
Decision Tree,0.6,2049,0.977061981454368,0.9718969555035128,0.9811169144234633,0.9770554493307839,0.9900124188836997
Decision Tree,0.7000000000000001,2390,0.9757322175732217,0.9695550351288056,0.9801369863013699,0.9751434034416826,0.9873945415216339
Decision Tree,0.8,2732,0.976207906295754,0.9648711943793911,0.9805680119581465,0.9714285714285714,0.982540682047425
Decision Tree,0.9,3073,0.9755938821998047,0.9695550351288056,0.9800690938081318,0.9753320683111955,0.9861847206917259
Decision Tree,1.0,3415,0.9742313323572475,0.968384074941452,0.9790176442536958,0.9743589743589743,0.9884207028038692
Decision Tree No Limit,0.1,341,1.0,0.9625292740046838,1.0,0.9700374531835206,0.9583471806801817
Decision Tree No Limit,0.2,683,1.0,0.9695550351288056,1.0,0.9755639097744361,0.9670287383463644
Decision Tree No Limit,0.30000000000000004,1024,1.0,0.9754098360655737,1.0,0.9803921568627451,0.9711304682443896
Decision Tree No Limit,0.4,1366,1.0,0.9765807962529274,1.0,0.9812382739212008,0.973891191921312
Decision Tree No Limit,0.5,1707,1.0,0.977751756440281,1.0,0.9820923656927427,0.9766519155982345
Decision Tree No Limit,0.6,2049,1.0,0.9765807962529274,1.0,0.9810606060606061,0.9769230320733705
Decision Tree No Limit,0.7000000000000001,2390,1.0,0.9742388758782201,1.0,0.9791666666666666,0.9744334248715841
Decision Tree No Limit,0.8,2732,1.0,0.9672131147540983,1.0,0.9734848484848485,0.9669646032662247
Decision Tree No Limit,0.9,3073,1.0,0.9789227166276346,1.0,0.9831144465290806,0.9763807991230987
Decision Tree No Limit,1.0,3415,1.0,0.9789227166276346,1.0,0.9830508474576272,0.9775935351839219
Random Forest,0.1,341,1.0,0.9660421545667447,1.0,0.9728718428437793,0.9961897931935189
Random Forest,0.2,683,1.0,0.9789227166276346,1.0,0.9830827067669173,0.9968049069166769
Random Forest,0.30000000000000004,1024,1.0,0.977751756440281,1.0,0.9821596244131455,0.9971080909318828
Random Forest,0.4,1366,1.0,0.9789227166276346,1.0,0.9830827067669173,0.9974287663325812
Random Forest,0.5,1707,1.0,0.977751756440281,1.0,0.9821596244131455,0.9976503238821547
Random Forest,0.6,2049,1.0,0.9800936768149883,1.0,0.9840075258701787,0.9974462577180738
Random Forest,0.7000000000000001,2390,1.0,0.9812646370023419,1.0,0.9849624060150376,0.9984490971529855
Random Forest,0.8,2732,1.0,0.9789227166276346,1.0,0.9831144465290806,0.9985423845422796
Random Forest,0.9,3073,0.9996745850959974,0.9765807962529274,0.999737876802097,0.9811676082862524,0.9984432666911546
Random Forest,1.0,3415,0.9997071742313324,0.9824355971896955,0.9997647612326511,0.9859154929577465,0.9986531633170663
